# Directed graph (each unordered pair of nodes is saved once): 100nodes_graphs.txt
# Another example
# Nodes: 100 Edges: 250
# FromNodeId    ToNodeId
0 9
0 14
0 45
1 19
2 1
2 45
2 95
3 34
3 82
3 92
4 60
5 16
5 20
5 63
5 74
6 14
6 57
6 68
7 94
8 5
8 61
9 23
9 62
9 67
10 51
10 93
10 95
11 56
12 2
12 17
12 29
12 34
12 52
12 92
12 95
13 14
13 32
14 60
15 47
15 57
15 93
16 24
17 5
17 29
17 50
17 53
17 59
18 9
18 15
18 22
18 28
18 34
18 66
19 25
19 74
20 14
20 20
20 24
20 44
20 64
21 24
22 11
22 55
23 81
24 1
24 13
24 29
24 93
25 43
25 50
25 54
25 91
25 93
26 64
27 71
28 59
28 84
29 13
29 33
30 4
30 28
30 93
31 36
31 76
31 93
32 46
32 82
33 38
33 80
34 5
34 11
35 18
35 99
36 7
37 23
38 34
38 57
38 84
40 14
40 18
40 47
40 80
40 82
40 84
41 44
41 64
41 85
41 95
42 24
42 67
44 46
44 99
45 4
45 25
45 33
45 80
45 99
46 3
46 30
47 68
47 81
48 18
48 21
48 34
48 49
49 51
49 68
50 70
51 13
51 40
51 55
51 71
51 99
52 26
52 64
53 21
53 48
54 65
54 73
54 96
55 8
55 51
55 87
55 98
56 67
57 10
57 28
57 68
58 50
58 65
59 24
59 70
59 81
60 62
61 12
61 18
61 31
61 97
62 7
62 68
63 40
64 8
64 52
66 25
66 80
67 26
67 46
68 3
68 52
68 92
69 11
69 16
69 35
70 22
70 29
71 7
71 18
71 30
73 6
74 2
74 69
75 0
75 18
75 97
76 34
76 48
76 52
76 96
77 11
77 56
77 63
77 71
77 76
77 80
78 79
78 92
79 14
79 23
79 85
80 38
80 67
80 75
81 43
81 45
81 64
81 84
82 27
83 12
84 13
84 59
84 61
84 70
84 92
85 48
85 53
85 69
86 36
86 42
86 96
87 74
87 81
88 29
88 34
90 86
91 10
91 22
91 29
91 44
91 80
92 67
92 72
92 97
93 37
93 57
93 63
94 67
95 1
96 2
96 13
96 72
96 76
97 26
97 58
98 6
98 29
98 52
98 66
99 4
99 66
99 83
